indice_a,indice_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,similitud_nombre,misma_direccion,mismo_telefono,status_a,status_b,decision
2605,2646,00-07-0245-46,00-07-2978-46,LICEO DE COMPUTACION C.S.S,LICEO DE COMPUTACION 'C.S.S',96.3,False,False,ABIERTA,TEMPORAL TITULOS,Probablemente distintos (direccion diferente): conservar ambos
2646,2647,00-07-2978-46,00-07-2979-46,LICEO DE COMPUTACION 'C.S.S',LICEO DE COMPUTACION C.S.S,96.3,False,False,TEMPORAL TITULOS,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
5639,5641,01-15-0292-46,01-15-0297-46,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,96.3,False,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
5641,5776,01-15-0297-46,01-15-0718-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5642,5773,01-15-0299-46,01-15-0712-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
4118,4127,05-07-0048-46,05-07-0069-46,INSTITUTO MUNICIPAL DE EDUCACION BASICA POR MADUREZ Y DIVERSIFICADO,INSTITUTO MUNICIPAL DE EDUCACIÓN BÁSICA POR MADUREZ Y DIVERSIFICADO.,96.3,False,True,ABIERTA,ABIERTA,"Probable duplicado (mismo telefono, nombre casi identico): revisar"
4119,4127,05-07-0049-46,05-07-0069-46,INSTITUTO MUNICIPAL DE EDUCACION BASICA POR MADUREZ Y DIVERSIFICADO,INSTITUTO MUNICIPAL DE EDUCACIÓN BÁSICA POR MADUREZ Y DIVERSIFICADO.,96.3,False,True,CERRADA TEMPORALMENTE,ABIERTA,"Probable duplicado (mismo telefono, nombre casi identico): revisar"
1839,1849,00-01-4387-46,00-01-4410-46,LICEO DE COMPUTACION 'C.S.S',LICEO DE COMPUTACION C.S.S,96.3,False,False,CERRADA TEMPORALMENTE,CERRADA DEFINITIVAMENTE,Probablemente distintos (direccion diferente): conservar ambos
3527,3546,02-03-0055-46,02-03-0150-46,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""",COLEGIO CENTRO DE FORMACIÓN PROFESIONAL PRE-UNIVERISTARIA DEL CICLO DIVERSIFICADO,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
6988,6989,18-01-2405-46,18-01-2424-46,LICEO MIXTO '20 DE OCTUBRE',LICEO MIXTO 20 DE OCTUBRE,96.2,True,True,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,"Probable duplicado (misma direccion y telefono): candidato a fusion, revisar"
